session,part_label,round,cash,shares,periods_until_auto_buy,periods_until_auto_sell,shares_transacted,trans_cost,cash_after_trade,interest_earned,dividend_earned,cash_result,shares_result,f0,f1,f2,f3,fcast_rnd_0,fcast_rnd_1,fcast_rnd_2,fcast_rnd_3,fcast_err_0,fcast_err_1,fcast_err_2,fcast_err_3,risk_1,risk_2,risk_3,risk_4,risk_rh,risk_rl,risk_sh,risk_sl,risk_phi_1,risk_phi_2,risk_phi_3,risk_phi_4,risk_reward,dose_r,dose_mu,is_mv,buy_quant,sell_quant,market_price,stock_value,equity
898aphuw,666e02576e916cd782e9ae12,4,161.54,2.0,-99,-99,0,0.0,161.54,8.08,2.0,171.62,2.0,21.0,20.0,18.0,16.0,4.0,6.0,9.0,14.0,1.0,4.0,7.0,10.0,0.0,0.0,0.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,96.0,,1.1772200594095774,3.015780593230531,False,0,1,20.0,40.0,201.54
898aphuw,kfzc0i99_82W,4,199.11,0.0,-99,-99,0,0.0,199.11,9.96,0.0,209.07,0.0,21.0,23.0,27.0,31.0,4.0,6.0,9.0,14.0,1.0,1.0,-2.0,-5.0,,0.0,0.0,0.0,18.75,1.5,10.75,8.25,34.0,34.0,51.0,68.0,,0.6280898751929331,3.3644379257104635,False,3,0,20.0,0.0,199.11
898aphuw,66429bad9e92786ee8928856,4,11.53,11.0,-99,-99,0,0.0,11.53,0.58,11.0,23.11,11.0,21.0,22.0,21.0,24.0,4.0,6.0,9.0,14.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,18.75,1.5,10.75,8.25,34.0,23.0,18.0,16.0,,-1.1786949038250172,2.9022521025688595,False,0,0,20.0,220.0,231.53
898aphuw,kfzc0i99_50M,4,37.63,9.0,-99,-99,1,-22.0,15.63,0.78,10.0,26.41,10.0,23.0,29.0,36.0,45.0,4.0,6.0,9.0,14.0,-1.0,-5.0,-11.0,-19.0,,,,,18.75,1.5,10.75,8.25,34.0,34.0,34.0,34.0,,,,False,1,0,20.0,180.0,217.63
898aphuw,65412ca42e0e2fbb27b8a7b2,4,33.73,10.0,-99,-99,-5,110.0,143.73,7.19,5.0,155.92,5.0,19.0,19.0,20.0,19.0,4.0,6.0,9.0,14.0,3.0,5.0,5.0,7.0,0.0,0.0,0.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,96.0,,1.1772200594095774,3.015780593230531,False,0,5,20.0,200.0,233.73
898aphuw,5bf0b1ecaf38d100016bd609,4,189.85,0.0,-99,-99,0,0.0,189.85,9.49,0.0,199.34,0.0,20.0,22.0,26.0,30.0,4.0,6.0,9.0,14.0,2.0,2.0,-1.0,-4.0,0.0,0.0,1.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,66.0,,0.8865382707019821,3.307924237215062,False,5,0,20.0,0.0,189.85
898aphuw,kfzc0i99_02E,4,181.54,1.0,-99,-99,0,0.0,181.54,9.08,1.0,191.62,1.0,16.0,16.0,16.0,16.0,4.0,6.0,9.0,14.0,6.0,8.0,9.0,10.0,0.0,0.0,1.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,66.0,,0.8865382707019821,3.307924237215062,False,1,0,20.0,20.0,201.54
898aphuw,667b252c7a8e4a841804560d,4,128.37,4.0,-99,-99,2,-44.0,84.37,4.22,6.0,94.59,6.0,22.0,26.0,30.0,40.0,4.0,6.0,9.0,14.0,0.0,-2.0,-5.0,-14.0,0.0,0.0,1.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,66.0,,0.8865382707019821,3.307924237215062,False,2,0,20.0,80.0,208.37
898aphuw,66491e9882aaa64c5d0911d5,4,146.17,3.0,-99,-99,0,0.0,146.17,7.31,3.0,156.48,3.0,20.0,20.0,22.0,22.0,4.0,6.0,9.0,14.0,2.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,66.0,,0.4802281126874301,3.396770158108961,False,1,0,20.0,60.0,206.17
898aphuw,61115178c8a4bbd5832f32ba,4,128.37,4.0,-99,-99,0,0.0,128.37,6.42,4.0,138.79,4.0,20.0,22.0,24.0,26.0,4.0,6.0,9.0,14.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,18.75,1.5,10.75,8.25,34.0,51.0,44.0,57.0,,0.2213667818564651,3.111596121297141,False,3,2,20.0,80.0,208.37
